"Step","no_attack - train/loss","no_attack - train/loss__MIN","no_attack - train/loss__MAX"
"169","0.2575","0.2575","0.2575"
"170","0.3811","0.3811","0.3811"
"171","0.2254","0.2254","0.2254"
"172","0.1919","0.1919","0.1919"
"173","0.2505","0.2505","0.2505"
"174","0.1787","0.1787","0.1787"
"175","0.1902","0.1902","0.1902"
"176","0.299","0.299","0.299"
"177","0.3948","0.3948","0.3948"
"178","0.3943","0.3943","0.3943"
"179","0.3771","0.3771","0.3771"
"180","0.2612","0.2612","0.2612"
"181","0.2525","0.2525","0.2525"
"182","0.3294","0.3294","0.3294"
"183","0.3415","0.3415","0.3415"
"184","0.3052","0.3052","0.3052"
"185","0.2639","0.2639","0.2639"
"186","0.3079","0.3079","0.3079"
"187","0.2608","0.2608","0.2608"
"188","0.1794","0.1794","0.1794"
"189","0.2539","0.2539","0.2539"
"190","0.2118","0.2118","0.2118"
"191","0.2233","0.2233","0.2233"
"192","0.2552","0.2552","0.2552"
"193","0.1988","0.1988","0.1988"
"194","0.2062","0.2062","0.2062"
"195","0.2758","0.2758","0.2758"
"196","0.3605","0.3605","0.3605"
"197","0.3715","0.3715","0.3715"
"198","0.2451","0.2451","0.2451"
"199","0.2749","0.2749","0.2749"
"200","0.3358","0.3358","0.3358"
"201","0.2417","0.2417","0.2417"
"202","0.4065","0.4065","0.4065"
"203","0.3834","0.3834","0.3834"
"204","0.205","0.205","0.205"
"205","0.3648","0.3648","0.3648"
"206","0.2345","0.2345","0.2345"
"207","0.2627","0.2627","0.2627"
"208","0.2633","0.2633","0.2633"
"209","0.3033","0.3033","0.3033"
"210","0.3188","0.3188","0.3188"
"211","0.3105","0.3105","0.3105"
"212","0.44","0.44","0.44"
"213","0.2463","0.2463","0.2463"
"214","0.3431","0.3431","0.3431"
"215","0.3839","0.3839","0.3839"
"216","0.235","0.235","0.235"
"217","0.2964","0.2964","0.2964"
"218","0.2272","0.2272","0.2272"
"219","0.2645","0.2645","0.2645"
"220","0.2746","0.2746","0.2746"
"221","0.184","0.184","0.184"
"222","0.4171","0.4171","0.4171"
"223","0.2772","0.2772","0.2772"
"224","0.1957","0.1957","0.1957"
"225","0.2866","0.2866","0.2866"
"226","0.2543","0.2543","0.2543"
"227","0.25","0.25","0.25"
"228","0.3093","0.3093","0.3093"
"229","0.359","0.359","0.359"
"230","0.241","0.241","0.241"
"231","0.2729","0.2729","0.2729"
"232","0.3849","0.3849","0.3849"
"233","0.3435","0.3435","0.3435"
"234","0.189","0.189","0.189"
"235","0.2213","0.2213","0.2213"
"236","0.2761","0.2761","0.2761"
"237","0.3034","0.3034","0.3034"
"238","0.2714","0.2714","0.2714"
"239","0.2638","0.2638","0.2638"
"240","0.2832","0.2832","0.2832"
"241","0.4552","0.4552","0.4552"
"242","0.2657","0.2657","0.2657"
"243","0.2991","0.2991","0.2991"
"244","0.4824","0.4824","0.4824"
"245","0.3405","0.3405","0.3405"
