Wall time,Step,Value
1606443172.481345,1,2.307145833969116
1606443185.081254,2,2.3159444332122803
1606443197.8372722,3,2.187264919281006
1606443210.536271,4,2.1175708770751953
1606443223.2703414,5,1.9147286415100098
1606443236.1475573,6,1.9063161611557007
1606443248.9136062,7,1.7455800771713257
1606443261.7175803,8,1.6978700160980225
1606443274.6719127,9,1.7205979824066162
1606443287.5474656,10,1.6293307542800903
1606443300.3217428,11,1.5911372900009155
1606443313.1117904,12,1.5662091970443726
1606443325.9750192,13,1.5439330339431763
1606443338.8502758,14,1.4899643659591675
1606443351.5903797,15,1.5188690423965454
1606443364.2547512,16,1.4988971948623657
1606443377.0580091,17,1.455392599105835
1606443389.8733494,18,1.4724892377853394
1606443402.5938237,19,1.4528170824050903
1606443415.404867,20,1.44178307056427
1606443428.162686,21,1.3802859783172607
1606443440.945777,22,1.3676080703735352
1606443453.8070128,23,1.357475757598877
1606443466.5581875,24,1.350705623626709
1606443479.206157,25,1.2767877578735352
1606443492.076603,26,1.3083086013793945
1606443504.8499174,27,1.278443455696106
1606443517.5544703,28,1.2669254541397095
1606443530.2600598,29,1.28269362449646
1606443543.1790156,30,1.2200425863265991
1606443555.8725662,31,1.2477599382400513
1606443568.5649922,32,1.2097922563552856
1606443581.3068273,33,1.206396222114563
1606443594.1518722,34,1.154710054397583
1606443606.755339,35,1.172742247581482
1606443619.4722564,36,1.1357265710830688
1606443632.1329548,37,1.1896692514419556
1606443644.9318924,38,1.1104481220245361
1606443657.5251427,39,1.1475600004196167
1606443670.22063,40,1.12331223487854
1606443682.9192832,41,1.1151984930038452
1606443695.8214092,42,1.0984151363372803
1606443708.662925,43,1.1262530088424683
1606443721.4473062,44,1.067056655883789
1606443734.086245,45,1.048107385635376
1606443746.8990374,46,1.0516014099121094
1606443759.5454416,47,1.0303294658660889
1606443772.2816818,48,1.0700956583023071
1606443784.9891388,49,1.002171277999878
1606443797.7250247,50,1.0436503887176514
1606443810.3297026,51,1.0031250715255737
1606443823.1268682,52,1.0399281978607178
1606443835.9012163,53,0.9996592402458191
1606443848.6108196,54,0.9993671774864197
1606443861.27266,55,1.0000700950622559
1606443873.950418,56,0.9624506831169128
1606443886.6901274,57,0.9521079659461975
1606443899.584553,58,0.9411569237709045
1606443912.2331622,59,0.9311839938163757
1606443924.8540108,60,0.9205432534217834
1606443937.592763,61,0.9288831949234009
1606443950.4335442,62,0.9110023975372314
1606443963.1746838,63,0.9190652966499329
1606443975.9094684,64,0.9053528904914856
1606443988.6110308,65,0.914936363697052
1606444001.3783534,66,0.89557284116745
1606444014.0662603,67,0.9200620055198669
1606444026.7150693,68,0.8878999352455139
1606444039.5490832,69,0.8973739147186279
1606444052.34711,70,0.8814736008644104
1606444065.1470861,71,0.8805195689201355
1606444077.8598268,72,0.8639661073684692
1606444090.439852,73,0.8908841609954834
1606444103.2587476,74,0.8727828860282898
1606444115.9676983,75,0.8537355661392212
1606444128.6981947,76,0.8812719583511353
1606444141.4150949,77,0.8458182215690613
1606444154.1094394,78,0.8461281657218933
1606444166.7224827,79,0.837196946144104
1606444179.4256628,80,0.8238459229469299
1606444192.1929035,81,0.8347095847129822
1606444204.9408586,82,0.8481910228729248
1606444217.67263,83,0.840905487537384
1606444230.4337459,84,0.828549861907959
1606444243.2870293,85,0.8548312783241272
1606444256.1523407,86,0.8184581398963928
1606444268.8245816,87,0.8126257061958313
1606444281.543406,88,0.8014848232269287
1606444294.2650578,89,0.7850760817527771
1606444307.092965,90,0.8037821054458618
1606444319.8714535,91,0.7826677560806274
1606444332.6649354,92,0.8028422594070435
1606444345.4523215,93,0.7765051126480103
1606444358.2277834,94,0.7978691458702087
1606444370.9540093,95,0.760059118270874
1606444383.6253474,96,0.7809807062149048
1606444396.362217,97,0.7642401456832886
1606444409.170896,98,0.745326042175293
1606444421.8898618,99,0.7545115351676941
1606444434.5654526,100,0.7790306210517883
